,Authors,Title,Year,DOI,Abstract,Author Keywords,Index Keywords,ML_ET_Related,ET_Prediction,Measurement Methods,Features Used,"('Methods', 'eddy covariance')","('Methods', 'weather station')","('Methods', 'remote sensing')","('Methods', 'load cells')","('Methods', 'sap flow')","('Methods', 'field measurement')","('Methods', 'phenotyping')","('Methods', 'soil water balance')","('Methods', 'empirical models')","('Methods', 'stomatal conductance')","('Methods', 'psychrometry')","('Features', 'climate & meteorology')","('Features', 'vegetation indices')","('Features', 'soil')","('Features', 'plant physiology')"
279,Li X.; Xue F.; Ding J.; Xu T.; Song L.; Pang Z.; Wang J.; Xu Z.; Ma Y.; Lu Z.; Wu D.; Wei J.; He X.; Zhang Y.,A Hybrid Model Coupling Physical Constraints and Machine Learning to Estimate Daily Evapotranspiration in the Heihe River Basin,2024,10.3390/rs16122143,"Accurate estimation of surface evapotranspiration (ET) in the Heihe River Basin using remote sensing data is crucial for understanding water dynamics in arid regions. In this paper, by coupling physical constraints and machine learning for hybrid modeling, we develop a hybrid model based on surface conductance optimization. A hybrid modeling algorithm, two physical process-based ET algorithms (Penman–Monteith-based and Priestley–Taylor-based ET algorithms), and three pure machine learning algorithms (Random Forest, Extreme Gradient Boosting, and K Nearest Neighbors) are comparatively analyzed for estimating the ET. The results showed that, in general, the machine learning model optimized by parameters was able to better predict the surface conductance of the hybrid model. Driver analyses showed that radiation, normalized difference vegetation index (NDVI), and air temperature had high correlations with ET. The hybrid model had a better prediction performance for ET than the other five models, and it improved the R2 of the two physical process-based algorithms to 0.9, reduced the root mean square error (RMSE) to 0.5 mm/day, reduced the BIAS to 0.2 mm/day, and improved the Kling–Gupta efficiency (KGE) to 0.9. The hybrid model outperformed the others across different time scales, displaying lower BIAS, RMSE, and higher KGE. Spatially, its ET patterns aligned with regional vegetation changes, with superior accuracy in annual ET estimation compared to the other models. Comparison with other ET products shows that the estimation results based on the hybrid model have better performance. This approach not only improves the accuracy of ET estimation but also improves the understanding of the physical mechanism of ET estimation by pure machine learning models. This study can provide important support for understanding ET and hydrological processes under different climatic and biotic vegetation in other arid and semi-arid regions. © 2024 by the authors.",evapotranspiration; Heihe River Basin; hybrid model; machine learning; physical constraints,Adaptive boosting; Arid regions; Couplings; Forestry; Machine learning; Mean square error; Meteorology; Nearest neighbor search; Remote sensing; Rivers; Vegetation mapping; Watersheds; Heihe river basin; Hybrid model; Machine learning models; Machine-learning; Model coupling; Physical constraints; Physical process; Process-based; Root mean square errors; Surface conductance; Evapotranspiration,Yes,Yes,"remote sensing, empirical models","climate & meteorology, vegetation indices",0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
283,Diamantopoulou M.J.; Papamichail D.M.,Performance Evaluation of Regression-Based Machine Learning Models for Modeling Reference Evapotranspiration with Temperature Data,2024,10.3390/hydrology11070089,"In this study, due to their flexibility in forecasting, the capabilities of three regression-based machine learning models were explored, specifically random forest regression (RFr), generalized regression neural network (GRNN), and support vector regression (SVR). The above models were assessed for their suitability in modeling daily reference evapotranspiration (ETo), based only on temperature data (Tmin, Tmax, Tmean), by comparing their daily ETo results with those estimated by the conventional FAO 56 PM model, which requires a broad range of data that may not be available or may not be of reasonable quality. The RFr, GRNN, and SVR models were subjected to performance evaluation by using statistical criteria and scatter plots. Following the implementation of the ETo models’ comparisons, it was observed that all regression-based machine learning models possess the capability to accurately estimate daily ETo based only on temperature data requirements. In particular, the RFr model outperformed the others, achieving the highest R value of 0.9924, while the SVR and GRNN models had R values of 0.9598 and 0.9576, respectively. Additionally, the RFr model recorded the lowest values in all error metrics. Once these regression-based machine learning models have been successfully developed, they will have the potential to serve as effective alternatives for estimating daily ETo, under current and climate change conditions, when temperature data are available. This information is crucial for effective water resources management and especially for predicting agricultural production in the context of climate change. © 2024 by the authors.",daily reference evapotranspiration; generalized regression neural network; random forest regression; support vector regression,,Yes,Yes,empirical models,"climate & meteorology, vegetation indices",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
286,Akiner M.E.; Ghasri M.,Comparative assessment of deep belief network and hybrid adaptive neuro-fuzzy inference system model based on a meta-heuristic optimization algorithm for precise predictions of the potential evapotranspiration,2024,10.1007/s11356-024-33987-3,"Accurately predicting potential evapotranspiration (PET) is crucial in water resource management, agricultural planning, and climate change studies. This research aims to investigate the performance of two machine learning methods, the adaptive network-based fuzzy inference system (ANFIS) and the deep belief network (DBN), in forecasting PET, as well as to explore the potential of hybridizing the ANFIS approach with the Snake Optimizer (ANFIS-SO) algorithm. The study utilized a comprehensive dataset spanning the period from 1983 to 2020. The ANFIS, ANFIS-SO, and DBN models were developed, and their performances were evaluated using statistical metrics, including R2, Radj2, NSE, WI, STD, and RMSE. The results showcase the exceptional performance of the DBN model, which achieved R2 and Radj2 values of 0.99 and NSE and WI scores of 0.99 across the nine stations analyzed. In contrast, the standard ANFIS method exhibited relatively weaker performance, with R2 and Radj2 values ranging from 0.52 to 0.88. However, the ANFIS-SO approach demonstrated a substantial improvement, with R2 and Radj2 values ranging from 0.94 to 0.99, suggesting the value of optimization techniques in enhancing the model’s capabilities. The Taylor diagram and violin plots with box plots further corroborated the comparative analysis, highlighting the DBN model’s superior ability to closely match the observed standard deviation and correlation and its consistent and low-variance predictions. The ANFIS-SO method also exhibited enhanced performance in these visual representations, with an RMSE of 0.86, compared to 0.95 for the standard ANFIS. The insights gained from this study can inform the selection of the most appropriate modeling technique, whether it be the high-precision DBN, the flexible ANFIS, or the optimized ANFIS-SO approach, based on the specific requirements and constraints of the application. © The Author(s) 2024.",Adaptive network-based fuzzy inference system; Deep belief network (DBN); Forecasting; Hybrid artificial intelligence; Potential evapotranspiration; Snake optimizer,"Algorithms; Climate Change; Fuzzy Logic; Heuristics; Machine Learning; Models, Theoretical; Neural Networks, Computer; Climate change; Deep learning; Evapotranspiration; Fuzzy inference; Fuzzy neural networks; Fuzzy systems; Learning systems; Optimization; Water management; Adaptive network-based fuzzy inference system; Adaptive-network- based fuzzy inference systems; Deep belief network; Deep belief networks; Hybrid artificial intelligences; Network models; Optimizers; Performance; Potential evapotranspiration; Snake optimizer; algorithm; climate change; forecasting method; hybrid; machine learning; optimization; performance assessment; potential evapotranspiration; prediction; algorithm; artificial neural network; climate change; fuzzy logic; heuristics; machine learning; theoretical model; Forecasting",Yes,Yes,Not Specified,"climate & meteorology, vegetation indices",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
291,Kajári B.; Tobak Z.; Túri N.; Bozán C.; Van Leeuwen B.,Prediction of Inland Excess Water Inundations Using Machine Learning Algorithms,2024,10.3390/w16091267,"Regularly, large parts of the agricultural areas of the Great Hungarian Plain are inundated due to excessive rainfall and insufficient evaporation and infiltration. Climate change is expected to lead to increasingly extreme weather conditions, which may even increase the frequency and extent of these inundations. Shallow “floods”, also defined as inland excess water, are phenomena that occur due to a complex set of interrelated factors. Our research presents a workflow based on active and passive satellite data from Sentinel-1 and -2, combined with a large auxiliary data set to detect and predict these floods. The workflow uses convolutional neural networks to classify water bodies based on Sentinel-1 and Sentinel-2 satellite data. The inundation data were complimented with meteorological, soil, land use, and GIS data to form 24 features that were used to train an XGBoost model and a deep neural network to predict future inundations, with a daily interval. The best prediction was reached with the XGBoost model, with an overall accuracy of 86%, a Kappa value of 0.71, and an F1 score of 0.86. The SHAP explainable AI method showed that the most important input features were the amount of water detected in the satellite imagery during the week before the forecast and during the period two weeks earlier, the number of water pixels in the surroundings on the day before the forecast, and the potential evapotranspiration on the day of the forecast. The resulting inland excess water inundation time series can be used for operational action, planning, and prevention. © 2024 by the authors.",convolutional neural network; inland excess water; machine learning; Sentinel-1; Sentinel-2; water classification; XGBoost,Alfold; Hungary; Climate change; Convolution; Convolutional neural networks; Deep neural networks; Evapotranspiration; Forecasting; Land use; Learning algorithms; Satellite imagery; Convolutional neural network; Excess waters; Inland excess water; Machine-learning; Satellite data; Sentinel-1; Sentinel-2; Water classification; Work-flows; Xgboost; algorithm; artificial neural network; flood; GIS; image classification; infiltration; potential evapotranspiration; precipitation intensity; prediction; satellite data; satellite imagery; Sentinel; severe weather; Floods,Yes,Yes,"weather station, remote sensing","climate & meteorology, vegetation indices",0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
299,Devkota K.P.; Bouasria A.; Devkota M.; Nangia V.,"Predicting wheat yield gap and its determinants combining remote sensing, machine learning, and survey approaches in rainfed Mediterranean regions of Morocco",2024,10.1016/j.eja.2024.127195,"Wheat plays a crucial role in Morocco's food security, economic stability, and livelihoods of farming communities. Assessing key vegetation indices (as yield predictors), along with understanding potential yield, yield gap, and major determinants for this gap at regional and national scales, is vital for improving food security with resilience in variable climatic conditions. Analysing the yield gap and its causes during drought and optimal weather conditions can reduce crop failure risks and enhance productivity specially in variable rainfed production systems. This study aimed to develop scalable methodology to predict field- and landscape-level yield and yield gaps for wheat and their underlying causes examplifying Morocco's rainfed production environment combining remote sensing, machine learning, and ground information. By analysing six vegetation indices (EVI2, CGVI, MSR, NDVI, OSAVI, and RVI) derived from Sentinel-2 satellite imagery (10 m resolution) over three successive growing seasons (2018–2019, 2019–2020, and 2020–2021), the study employed advanced vegetation index models for accurate prediction of wheat yields and yield gaps at plot and on a larger regional scale within the Rabat-Sale-Kenitra region. To identify the determinants of yield gap, climate and soil datasets were merged with crop management information and the random forest model was fine-tuned and assessed for each season and cumulatively. The findings highlighted that RVI, GCVI, and NDVI vegetation indices were particularly effective in predicting wheat yields, showing the highest R2 and the lowest prediction errors (RMSE). Such predictive methodologies are crucial for policymakers to proactively plan and mitigate risk minimization and adaption plans at regional and national levels. The models predicted rainfed potential yields of 5.99, 1.53, and 4.66 t ha−1, with corresponding yield gap of 3.38, 0.73, and 1.58 t ha−1 for the seasons of 2018/2019 (favorable); 2019/2020 (drought) and 2020/2021 (favorable), respectively. Across three periods, critical factors determining yield include soil moisture, total rainfall during the crop growing period, evapotranspiration, and soil texture and carbon content. To minimize drought risks and maximize benefits during variable rainfall conditions, it is essential to implement pre-season drought forecasts, customize seeding dates based on soil moisture, adopt technologies that enhance soil moisture retention, and utilize climate-adapted farming practices in the semi-arid and arid rainfed regions. © 2024 Elsevier B.V.","Climate resilient drylands; Customized agronomic solution; Drought risk minimization; Predictors of yield gap; Vegetation indices (EVI2, CGVI, MSR, NDVI, OSAVI, RVI)",Morocco; Rabat-Sale-Kenitra; agronomy; crop yield; drought; machine learning; NDVI; prediction; remote sensing; risk assessment; satellite imagery; Sentinel; wheat,Yes,Yes,remote sensing,"climate & meteorology, vegetation indices, soil",0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
302,Kaissi O.; Belaqziz S.; Kharrou M.H.; Erraki S.; El Hachimi C.; Amazirh A.; Chehbouni A.,Advanced learning models for estimating the spatio-temporal variability of reference evapotranspiration using in-situ and ERA5-Land reanalysis data,2024,10.1007/s40808-023-01872-6,"Reference Evapotranspiration (ET0) is a key parameter in hydrology. It has a variety of practical applications, ranging from understanding the hydrological cycle to estimating crop water needs for efficient irrigation in agriculture. The FAO PENMAN–MONTEITH (FAO-PM) method is largely adopted and is the recommended method by the FAO for ET0 estimation. However, it requires multiple measured meteorological parameters that are, in some conditions, difficult to obtain. This work fills this gap and leverages the potential of data-driven methods, namely machine learning and deep learning models, to accurately estimate ET0 while using a limited number of easy-to-obtain parameters. The study uses physical-based models (FAO-PM and Hargreaves) as ET0 learning data providers for data-driven models. First, physical models were fed with meteorological data covering the period 2013–2020 at an hourly scale to estimate ET0. The data were sourced from the in-situ local weather station of our study area in the Tensift basin (center of Morocco) and from the Copernicus ERA5-Land reanalysis data. Next, as a preprocessing step, feature engineering was performed using a decision tree-based approach. We evaluated the predictive importance of weather parameters for ET0 estimation. Scores between 0 and 1 were assigned to each parameter, indicating their efficacy. Notably, mean air temperature and global solar radiation stood out, collectively surpassing an 86% importance threshold. In contrast to the rest of the parameters that have a low importance of 10%. This emphasizes the critical significance of mean air temperature and global solar radiation as essential predictors for accurate ET0 estimation. Finally, during the modeling phase, three deep-learning models Long Short-Term Memory (LSTM), Gated Recurrent Unit, and Convolutional Neural Network are highlighted. Notably, the LSTM model exhibits superior performance, delivering comparable coefficients of determination (R2) and root mean square error (RMSE) results, surpassing its counterparts. In terms of univariate predictions using the Hargreaves and FAO-56 PM methods, the LSTM consistently achieves high R2 values of 0.90 across all data sources, accompanied by impressive accuracy reflected in low MAE, MSE, and RMSE values ranging from 0.004 to 0.07 mm/day. In addition, the ensemble learning model XGBoost had the best prediction performance with R2 = 0.93 and RMSE = 0.03 mm/day. This confirms that machine learning models outperform deep learning architectures for small and medium-sized datasets. The proposed models will be integrated into an under-development agricultural decision support system. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2023.",Deep learning; ERA5-Land reanalysis data; Evapotranspiration; FAO-56 Penman–Monteith; Hargreaves; Smart agriculture,Marrakech-Safi; Morocco; Tensift Basin; air temperature; decision support system; estimation method; evapotranspiration; hydrological cycle; machine learning; solar radiation; spatiotemporal analysis,Yes,Yes,"weather station, empirical models","climate & meteorology, vegetation indices",0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
305,Baig F.; Ali L.; Faiz M.A.; Chen H.; Sherif M.,How accurate are the machine learning models in improving monthly rainfall prediction in hyper arid environment?,2024,10.1016/j.jhydrol.2024.131040,"Arid regions like the United Arab Emirates (UAE) face a dire challenge of scarce water resources and unpredictable climate patterns. This study investigates the efficacy of advanced Machine Learning (ML) techniques in enhancing rainfall prediction within hyper-arid environments. Leveraging an extensive 30-year dataset from 1991 to 2020, this study harnessed the power of XGBoost, LSTM, Random Forest (RF), Gradient Boost (GB), Support Vector Machine (SVM), Multilayer Perceptron (MLP), Linear Regression (LR), and ensemble methods to significantly enhance the prediction accuracy of monthly rainfall over UAE. In the initial univariate analysis, focused solely on rainfall as the predictor, the ML models displayed encouraging performance during the training phase, achieving an impressive correlation coefficient (CC) of 0.88 for both XGBoost and the ensemble models. However, their predictive efficacy witnessed a decline during the testing phase, where the maximum CC reached 0.45. In contrast, traditional models like Linear Regression and SVM, yielded subpar results in both training and testing, exhibiting correlation values lower than 0.3. To address these limitations, a multivariate analysis is conducted by incorporating additional meteorological parameters, including wind speed, temperature, humidity, and evapotranspiration. This augmentation proved highly beneficial as it substantially enhanced the models' predictive capacities during the testing period. The XGB achieves a CC of 0.76, LSTM improves from 0.21 to 0.71, and stacked models exhibit promising behavior jumping from an average of 0.44 to 0.82 during the testing periods. Additionally, we performed a sensitivity analysis utilizing LASSO regression, which revealed that wind speed and minimum temperature emerged as the most influential parameters for monthly rainfall prediction in the arid context. These two meteorological factors exerted a substantial impact on the accuracy of our predictive models, underscoring their significance in understanding and forecasting rainfall patterns in hyper-arid regions, such as the United Arab Emirates. The identification of these key drivers further strengthens the foundation for effective water resource management and climate adaptation strategies in such challenging environments. This study provides valuable insights for water resource planning, agriculture, and climate resilience strategies in hyper-arid regions. Further research can build upon these results to enhance rainfall prediction models and support sustainable development in arid regions. © 2024 Elsevier B.V.",Arid regions; Machine learning; Rainfall forecasting; Sensitivity analysis,United Arab Emirates; Arid regions; Forestry; Long short-term memory; Multivariant analysis; Rain; Regression analysis; Support vector machines; Water management; Wind; Arid environments; Correlation coefficient; Machine learning models; Machine-learning; Monthly rainfalls; Rainfall forecasting; Rainfall prediction; Support vectors machine; United Arab Emirates; Wind speed; arid region; local adaptation; machine learning; multivariate analysis; sensitivity analysis; sustainable development; water resource; weather forecasting; wind velocity; Sensitivity analysis,Yes,Yes,weather station,"climate & meteorology, vegetation indices",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
306,Huang J.; Zhang S.; Zhang J.; Zheng X.; Meng X.; Yang S.; Bai Y.,Integrating Meteorological and Remote Sensing Data to Simulate Cropland Nocturnal Evapotranspiration Using Machine Learning,2024,10.3390/su16051987,"Evapotranspiration (ET) represents a significant component of the global water flux cycle, yet nocturnal evapotranspiration (ETn) is often neglected, leading to underestimation of global evapotranspiration. As for cropland, accurate modeling of ETn is essential for rational water management and is important for sustainable agriculture development. We used random forest (RF) to simulate ETn at 16 globally distributed cropland eddy covariance flux sites along with remote sensing and meteorological factors. The recursive feature elimination method was used to remove unimportant variables. We also simulated the ETn of C3 and C4 crops separately. The trained RF resulted in a determination coefficient (R2) (root mean square error (RMSE)) of 0.82 (7.30 W m−2) on the testing dataset. C3 and C4 crops on the testing dataset resulted in an R2 (RMSE) of 0.86 (5.59 W m−2) and 0.55 (4.86 W m−2) for the two types of crops. We also showed that net radiation is the dominant factor in regulating ETn, followed by 2 m horizontal wind speed and vapor pressure deficit (VPD), and these three meteorological factors showed a significant positive correlation with ETn. This research demonstrates that RF can simulate ETn from crops economically and accurately, providing a methodological basis for improving global ETn simulations. © 2024 by the authors.",characteristics analysis; ecological remote sensing; machine learning; nocturnal evapotranspiration; random forest,alternative agriculture; data set; eddy covariance; evapotranspiration; machine learning; net radiation; remote sensing; vapor pressure; water flux; water management; wind velocity,Yes,Yes,"eddy covariance, weather station, remote sensing",climate & meteorology,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
308,Amani S.; Shafizadeh-Moghadam H.; Morid S.,Utilizing Machine Learning Models with Limited Meteorological Data as Alternatives for the FAO-56PM Model in Estimating Reference Evapotranspiration,2024,10.1007/s11269-023-03670-2,"The current study evaluated the accuracy of four machine learning (ML) models and thirteen experimental methods calibrated to estimate reference evapotranspiration (ET0) in arid and semi-arid regions. Various scenarios were examined utilizing meteorological data and FAO56-PM as a benchmark. According to the results, the ML models outperformed the experimental methods on both daily and monthly scales. Among the ML models, artificial neural networks (ANNs), generalized additive model (GAM), random forest (RF), and support vector machine (SVM), respectively, demonstrated higher accuracy on a monthly scale, while ANNs, SVM, RF, and GAM exhibited greater accuracy on a daily scale. Notably, ANNs and SVM achieved high accuracy even with a limited number of variables. Conversely, RF showed improved accuracy with an increased number of variables. Comparing the ML and experimental models with equivalent inputs revealed that ANN with inputs similar to Valiantzas-1 performed better on a monthly scale, while SVM with inputs akin to Valiantzas-3 showed superior performance on a daily scale. Our findings suggest that average temperature, wind speed, and sunshine hours contribute significantly to the accuracy of ML models. Consequently, these ML models can serve as an alternative to the FAO56-PM method for estimating ET0. © The Author(s), under exclusive licence to Springer Nature B.V. 2024.",Experimental models; FAO-56PM; Machine learning; Reference evapotranspiration,Evapotranspiration; Forestry; Learning systems; Meteorology; Neural networks; Wind speed; Experimental methods; Experimental modelling; FAO-56pm; Machine learning models; Machine-learning; Meteorological data; Monthly scale; Random forests; Reference evapotranspiration; Support vectors machine; accuracy assessment; arid region; artificial neural network; computer simulation; estimation method; evapotranspiration; experimental study; machine learning; numerical model; performance assessment; semiarid region; support vector machine; wind velocity; Support vector machines,Yes,Yes,"weather station, empirical models",climate & meteorology,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
313,Shaloo; Kumar B.; Bisht H.; Rajput J.; Mishra A.K.; Kiran Kumara T.M.; Brahmanand P.S.,Reference evapotranspiration prediction using machine learning models: An empirical study from minimal climate data,2024,10.1002/agj2.21504,"The scarcity of climatic data is the biggest challenge for developing countries, and the development of models for reference evapotranspiration (ET0) estimation with limited datasets is crucial. Therefore, the current investigation assessed the efficacy of four machine learning (ML) models, namely, linear regression (LR), support vector machine (SVM), random forest (RF), and neural networks (NN), to predict ET0 based on minimal climate data in comparison with the standard FAO-56 Penman-Monteith (PM) method. The data on daily climate parameters were collected for the period 2000−2021, including maximum and minimum temperatures (Tmax and Tmin), mean relative humidity (RH), wind speed (WS), and sunshine hours (SSH). The performance of the developed models considering different input combinations was evaluated by using several statistical performance measures. The results showed that the SVM model performed better than the other ML models during training (R2 = 0.985; mean absolute error [MAE] = 0.170 mm/day; mean square error [MSE] = 0.052 mm/day; root mean square error [RMSE] = 0.229 mm/day; mean absolute percentage error [MAPE] = 5.72%) and testing stages (R2 = 0.985; MAE = 0.168 mm/day; MSE = 0.050 mm/day; RMSE = 0.224 mm/day; MAPE = 5.91%) under full dataset scenario. The best performance of the models to estimate was with Tmax, RH, Ws, SSH, and Tmin. The results of the current study are substantial as it offers an approach to estimate ET0 in semi-arid data-scarce region. © 2023 The Authors. Agronomy Journal © 2023 American Society of Agronomy.",,,Yes,Yes,empirical models,climate & meteorology,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
318,Du C.; Jiang S.; Chen C.; Guo Q.; He Q.; Zhan C.,Machine Learning-Based Estimation of Daily Cropland Evapotranspiration in Diverse Climate Zones,2024,10.3390/rs16050730,"The accurate prediction of cropland evapotranspiration (ET) is of utmost importance for effective irrigation and optimal water resource management. To evaluate the feasibility and accuracy of ET estimation in various climatic conditions using machine learning models, three-, six-, and nine-factor combinations (V3, V6, and V9) were examined based on the data obtained from global cropland eddy flux sites and Moderate Resolution Imaging Spectroradiometer (MODIS) remote sensing data. Four machine learning models, random forest (RF), support vector machine (SVM), extreme gradient boosting (XGB), and backpropagation neural network (BP), were used for this purpose. The input factors included daily mean air temperature (Ta), net radiation (Rn), soil heat flux (G), evaporative fraction (EF), leaf area index (LAI), photosynthetic photon flux density (PPFD), vapor pressure deficit (VPD), wind speed (U), and atmospheric pressure (P). The four machine learning models exhibited significant simulation accuracy across various climate zones, reflected by their global performance indicator (GPI) values ranging from −3.504 to 0.670 for RF, −3.522 to 1.616 for SVM, −3.704 to 0.972 for XGB, and −3.654 to 1.831 for BP. The choice of suitable models and the different input factors varied across different climatic regions. Specifically, in the temperate–continental zone (TCCZ), subtropical–Mediterranean zone (SMCZ), and temperate zone (TCZ), the models of BPC-V9, SVMS-V6, and SVMT-V6 demonstrated the highest simulation accuracy, with average RMSE values of 0.259, 0.373, and 0.333 mm d−1, average MAE values of 0.177, 0.263, and 0.248 mm d−1, average R2 values of 0.949, 0.819, and 0.917, and average NSE values of 0.926, 0.778, and 0.899, respectively. In climate zones with a lower average LAI (TCCZ), there was a strong correlation between LAI and ET, making LAI more crucial for ET predictions. Conversely, in climate zones with a higher average LAI (TCZ, SMCZ), the significance of the LAI for ET prediction was reduced. This study recognizes the impact of climate zones on ET simulations and highlights the necessity for region-specific considerations when selecting machine learning models and input factor combinations. © 2024 by the authors.",climate zone; cropland evapotranspiration; eddy flux; input factor combinations; machine learning; remote sensing,Atmospheric pressure; Atmospheric temperature; Climate models; Forestry; Heat flux; Learning systems; Mean square error; Neural networks; Remote sensing; Support vector machines; Water management; Wind speed; Climate zone; Cropland evapotranspiration; Eddy fluxes; Input factor combination; Input factors; Leaf Area Index; Machine learning models; Machine-learning; Remote-sensing; Support vectors machine; Evapotranspiration,Yes,Yes,remote sensing,"climate & meteorology, vegetation indices, soil",0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
319,Meenal R.; Jala P.K.; Samundeswari R.; Rajasekaran E.,Crop water management using machine learning-based evapotranspiration estimation,2024,10.7324/JABB.2024.155791,"Growing population of India has an increased need for food, energy, and water, which calls for organized water management with improved crop yield. Accurate estimation of evapotranspiration (ET) is the first step in evaluating the water requirement of field crops. The solar radiation data are the essential input for estimating the reference crop ET (ET0 ). Due to expensive and difficulties in direct measurement techniques, solar radiation and ET0 were predicted using random forest machine learning (ML) and empirical methods. The water requirement for the tomato crop in millimetre/day is calculated using the estimated ET. Meteorological parameters associated with this study were obtained from India meteorological department and AQUASTAT tool. Based on the performance metrics such as MSE the value of 0.03 and correlation coefficient of 0.97, it is observed that solar radiation and ET0 predictions using random forest ML are better than the empirical model. Thus, this climate-smart agriculture approach can be applied as a successful strategy for irrigation planning in intelligent farming. © 2024 R.Meenal, et al.",Crop water; Evapotranspiration; Machine learning; Random forest; Solar radiation,agriculture; altitude; aquastat; Article; climate; climate smart agriculture; crop; evapotranspiration; humidity; machine learning; mathematical model; meteorology; nonhuman; solar radiation; temperature; tomato; water management; wind speed,Yes,Yes,weather station,climate & meteorology,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
322,Yamaç S.S.; Kurtuluş B.; Memon A.M.; Alomair G.; Todorovic M.,Are Supervised Learning Methods Suitable for Estimating Crop Water Consumption under Optimal and Deficit Irrigation?,2024,10.3390/agronomy14030532,"This study examined the performance of random forest (RF), support vector machine (SVM) and adaptive boosting (AB) machine learning models used to estimate daily potato crop evapotranspiration adjusted (ETc-adj) under full irrigation (I100), 50% of full irrigation supply (I50) and rainfed cultivation (I0). Five scenarios of weather, crop and soil data availability were considered: (S1) reference evapotranspiration and precipitation, (S2) S1 and crop coefficient, (S3) S2, the fraction of total available water and root depth, (S4) S2 and total soil available water, and (S5) S3 and total soil available water. The performance of machine learning models was compared with the standard FAO56 calculation procedure. The most accurate ETc-adj estimates were observed with AB4 for I100, RF3 for I50 and AB5 for I0 with coefficients of determination (R2) of 0.992, 0.816 and 0.922, slopes of 1.004, 0.999 and 0.972, modelling efficiencies (EF) of 0.992, 0.815 and 0.917, mean absolute errors (MAE) of 0.125, 0.405 and 0.241 mm day−1, root mean square errors (RMSE) of 0.171, 0.579 and 0.359 mm day−1 and mean squared errors (MSE) of 0.029, 0.335 and 0.129 mm day−1, respectively. The AB model is suggested for ETc-adj prediction under I100 and I0 conditions, while the RF model is recommended under the I50 condition. © 2024 by the authors.",adaptive boosting; irrigation; machine learning; random forest; support vector machine; water stress,,Yes,Yes,empirical models,"climate & meteorology, soil",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
328,Aguilos M.; Sun G.; Liu N.; Zhang Y.; Starr G.; Oishi A.C.; O'Halloran T.L.; Forsythe J.; Wang J.; Zhu M.; Amatya D.; Baniya B.; McNulty S.; Noormets A.; King J.,Energy availability and leaf area dominate control of ecosystem evapotranspiration in the southeastern U.S.,2024,10.1016/j.agrformet.2024.109960,"Evapotranspiration (ET) links water, energy, and carbon balances, and its magnitude and patterns are changing due to climate and land use change in the southeastern U.S. Quantifying the environmental controls on ET is essential for developing reliable ecohydrological models for water resources management. Here, we synthesized eddy covariance data from 24 AmeriFlux sites distributed across the southeastern U.S., comprising 162 site-years of flux data representing six representative ecosystems including cropland vegetation mosaic (CVM), deciduous broadleaf forests (DBF), evergreen needle-leaf forests (ENF), grasslands (GRA), savannas (SAV), and wetlands (WET). Our objectives were to assess the daily, seasonal, and annual variability in ET and to develop practical predictive models for regional applications in ecosystem service analysis. We evaluated the response of ET to climatic and biotic forcings including potential evapotranspiration (PET), precipitation (P), and leaf area index (LAI), and compared the performance of these empirical ET models based and those developed using machine learning algorithms. Our results showed that the mean daily ET varied significantly, ranging from 1.36 mm d−1 in GRA to 2.30 mm d−1 in SAV, with a numerical order: GRA < DBF < ENF < WET < CVM < SAV. In this humid region, mean annual PET exceeded P in 16 out of the 24 flux sites. Using the Budyko framework, we showed that ENF had the highest evaporative efficiency (ET/P). PET and leaf area index (LAI) emerged as the most influential factors explaining ET variability. Artificial neural networks (ANN) and random forest (RF) models demonstrated superior capabilities in predicting monthly ET across sites over generalized additive modeling (GAM) and multiple linear regression (MLR) methods. The present study confirmed that the Southeast region is generally 'energy limited', implying that atmospheric demand along with vegetation information can be used to reliably estimate monthly and annual ET. Our study provides valuable insights into how ET of specific ecosystems is controlled by climatic and land surface drivers, enabling the development of reliable predictive models for regional extrapolation of flux measurements in water resource management in the humid southeastern U.S. region. © 2024 Elsevier B.V.",Budyko; Eddy covariance; Land-use change; Machine learning; Modeling,United States; ecosystem service; eddy covariance; evapotranspiration; land use change; leaf area index; machine learning; numerical model,Yes,Yes,eddy covariance,"climate & meteorology, vegetation indices",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
